%2A.aln.sam	%2A	sebastes_spp
CF180612-03-03_S238_L001_R1_001.fastq.gz.aln.sam	CF180612-03-03_S238_L001_R1_001.fastq.gz	sebastes_spp
CF180612-03-05_S239_L001_R1_001.fastq.gz.aln.sam	CF180612-03-05_S239_L001_R1_001.fastq.gz	sebastes_spp
CF180612-03-07_S240_L001_R1_001.fastq.gz.aln.sam	CF180612-03-07_S240_L001_R1_001.fastq.gz	sebastes_spp
CF180612-03-08_S241_L001_R1_001.fastq.gz.aln.sam	CF180612-03-08_S241_L001_R1_001.fastq.gz	sebastes_spp
CF180629-01-11_S243_L001_R1_001.fastq.gz.aln.sam	CF180629-01-11_S243_L001_R1_001.fastq.gz	sebastes_spp
CF180629-01-13_S244_L001_R1_001.fastq.gz.aln.sam	CF180629-01-13_S244_L001_R1_001.fastq.gz	sebastes_spp
CF180629-01-15_S245_L001_R1_001.fastq.gz.aln.sam	CF180629-01-15_S245_L001_R1_001.fastq.gz	sebastes_spp
CF180629-01-17_S246_L001_R1_001.fastq.gz.aln.sam	CF180629-01-17_S246_L001_R1_001.fastq.gz	sebastes_spp
CF180629-01-19_S247_L001_R1_001.fastq.gz.aln.sam	CF180629-01-19_S247_L001_R1_001.fastq.gz	sebastes_spp
CF180629-01-21_S248_L001_R1_001.fastq.gz.aln.sam	CF180629-01-21_S248_L001_R1_001.fastq.gz	sebastes_spp
CF180629-03-05_S249_L001_R1_001.fastq.gz.aln.sam	CF180629-03-05_S249_L001_R1_001.fastq.gz	sebastes_spp
CF180731-04-01_S259_L001_R1_001.fastq.gz.aln.sam	CF180731-04-01_S259_L001_R1_001.fastq.gz	sebastes_spp
CF190528-01-19_S266_L001_R1_001.fastq.gz.aln.sam	CF190528-01-19_S266_L001_R1_001.fastq.gz	sebastes_spp
CF190606-02-14_S272_L001_R1_001.fastq.gz.aln.sam	CF190606-02-14_S272_L001_R1_001.fastq.gz	sebastes_spp
CF190705-02-21_S380_L001_R1_001.fastq.gz.aln.sam	CF190705-02-21_S380_L001_R1_001.fastq.gz	sebastes_spp
CF190719-01-04_S290_L001_R1_001.fastq.gz.aln.sam	CF190719-01-04_S290_L001_R1_001.fastq.gz	sebastes_spp
CF190719-01-12_S291_L001_R1_001.fastq.gz.aln.sam	CF190719-01-12_S291_L001_R1_001.fastq.gz	sebastes_spp
CF190719-01-15_S292_L001_R1_001.fastq.gz.aln.sam	CF190719-01-15_S292_L001_R1_001.fastq.gz	sebastes_spp
